PD,U_GH,QUACK
4,mabdullah32,
5,NotEquator,George
4,emaanas1f,
5,procrastinAFK,ALFRED
5,jasoncodesthings,PANCAKE
5,,
4,starstrime,EMPTYSTRING
4,jalenchen0,一加一
5,MichelleChen2331,DUCKIENAME
5,Bobbers1,DUCKIENAME
5,echeung60,
4,schi60,
4,acimpoiesu,
5,,
5,amethyst-is-cool,DUCKIENAME
4,tganshaw,
4,HannahG-T,Aiden and The Backup Band
5,Araf215,DUCKIENAME
5,k4limul,KEVIN
4,shafinkaziwaow,
5,nk-nyc,FRANKLIN
5,evankhosh,
5,potcats,BALL
5,nkurian3,Squirrel
5,,
5,dlee08,Knock-off_Charmander
4,JustASmallCup,DUCKIENAME
4,JamesLNY,DUCKIENAME
4,wetoyo,
5,ashli64,DUCKIENAME
4,BRIAN38444,DUCKIENAME
4,azhlwill,Thor
5,jlin28,BART
4,R3018,ORCA
5,jumpingwhales,胖子
5,jliu444,billy
4,kliu88221,QUACKY
4,bgels,DUCKIENAME
5,thomasmackey123,DUCKIENAME
4,emily708,DUCKIENAME
5,loharonson,HARRY
4,jeffstree,Jeff Jr.
5,SadgeCat,
5,Zixi52,Captain Pato
4,Tobber55,
5,esalad60,Ryan Ross
5,RohanSen08,Mr. Octopus
5,zwkir,Vendetta
4,kirans14,DUCKIENAME
5,BogdanSotnikov,"John, Hubert, Cornelius"
4,myohsis,EMPTYSTRING
4,sze178,
4,Paperdasher,LIONARDO
4,atsai2,
4,codycapybara,EMPTYSTRING
4,Ewu60,
4,,
4,Cammypoop,
5,hxiao61,DUCKIENAME
5,Owen-Zeng,bigboi
5,isabelz13,DUCKIENAME
4,Baiulus,
5,szheng60stuy,
4,szou0814,FINNEAS
